"species","year","country","mean"
"Aeshna_cyanea",2022,"Sweden",0.09369
"Aeshna_cyanea",2022,"Switzerland",0.43681
"Aeshna_cyanea",2022,"United Kingdom",0.2387
"Aeshna_cyanea",2022,"All",0.14032
"Aeshna_cyanea",2023,"Austria",0.28218
"Aeshna_cyanea",2023,"Belgium",0.37013
"Aeshna_cyanea",2023,"Cyprus",0
"Aeshna_cyanea",2023,"Czechia",0.24242
"Aeshna_cyanea",2023,"Denmark",0.22285
"Aeshna_cyanea",2023,"Finland",0.02887
"Aeshna_cyanea",2023,"France",0.18105
"Aeshna_cyanea",2023,"Ireland",0
"Aeshna_cyanea",2023,"Isle of Man",0
"Aeshna_cyanea",2023,"Italy",0.10349
"Aeshna_cyanea",2023,"Luxembourg",0.32616
"Aeshna_cyanea",2023,"Netherlands",0.32129
"Aeshna_cyanea",2023,"Portugal",0.04187
"Aeshna_cyanea",2023,"Slovenia",0.38073
"Aeshna_cyanea",2023,"Spain",0.04042
"Aeshna_cyanea",2023,"Sweden",0.06832
"Aeshna_cyanea",2023,"Switzerland",0.42618
"Aeshna_cyanea",2023,"United Kingdom",0.24023
"Aeshna_cyanea",2023,"All",0.12931
"Aeshna_cyanea",2024,"Austria",0.31597
"Aeshna_cyanea",2024,"Belgium",0.05218
"Aeshna_cyanea",2024,"Cyprus",0
"Aeshna_cyanea",2024,"Czechia",0.32027
"Aeshna_cyanea",2024,"Denmark",0.27136
"Aeshna_cyanea",2024,"Finland",0.04372
"Aeshna_cyanea",2024,"France",0.21281
"Aeshna_cyanea",2024,"Ireland",0
"Aeshna_cyanea",2024,"Isle of Man",0
"Aeshna_cyanea",2024,"Italy",0.09843
"Aeshna_cyanea",2024,"Luxembourg",0.36177
"Aeshna_cyanea",2024,"Netherlands",0.40904
"Aeshna_cyanea",2024,"Portugal",0.04791
"Aeshna_cyanea",2024,"Slovenia",0.26882
"Aeshna_cyanea",2024,"Spain",0.0365
"Aeshna_cyanea",2024,"Sweden",0.08877
"Aeshna_cyanea",2024,"Switzerland",0.45886
"Aeshna_cyanea",2024,"United Kingdom",0.25113
"Aeshna_cyanea",2024,"All",0.14134
"Coenagrion_puella",2000,"Austria",0.02911
"Coenagrion_puella",2000,"Belgium",0.27836
"Coenagrion_puella",2000,"Cyprus",0
"Coenagrion_puella",2000,"Czechia",0.18146
"Coenagrion_puella",2000,"Denmark",0.00154
"Coenagrion_puella",2000,"Finland",0
"Coenagrion_puella",2000,"France",0.20188
"Coenagrion_puella",2000,"Ireland",0
"Coenagrion_puella",2000,"Isle of Man",0
"Coenagrion_puella",2000,"Italy",0.00987
"Coenagrion_puella",2000,"Luxembourg",0.23697
"Coenagrion_puella",2000,"Netherlands",0.36194
"Coenagrion_puella",2000,"Portugal",0
"Coenagrion_puella",2000,"Slovenia",0.22892
"Coenagrion_puella",2000,"Spain",0.00564
"Coenagrion_puella",2000,"Sweden",0.00248
"Coenagrion_puella",2000,"Switzerland",0.43088
"Coenagrion_puella",2000,"United Kingdom",0.19317
"Coenagrion_puella",2000,"All",0.08498
"Coenagrion_puella",2001,"Austria",0.01623
"Coenagrion_puella",2001,"Belgium",0.28143
"Coenagrion_puella",2001,"Cyprus",0
"Coenagrion_puella",2001,"Czechia",0.21575
"Coenagrion_puella",2001,"Denmark",0.00154
"Coenagrion_puella",2001,"Finland",9e-04
"Coenagrion_puella",2001,"France",0.18593
"Coenagrion_puella",2001,"Ireland",0
"Coenagrion_puella",2001,"Isle of Man",0
"Coenagrion_puella",2001,"Italy",0.00725
"Coenagrion_puella",2001,"Luxembourg",0.23097
"Coenagrion_puella",2001,"Netherlands",0.36216
"Coenagrion_puella",2001,"Portugal",0
"Coenagrion_puella",2001,"Slovenia",0.23806
"Coenagrion_puella",2001,"Spain",0.00589
"Coenagrion_puella",2001,"Sweden",0.00558
"Coenagrion_puella",2001,"Switzerland",0.40957
"Coenagrion_puella",2001,"United Kingdom",0.18439
"Coenagrion_puella",2001,"All",0.08152
"Coenagrion_puella",2002,"Austria",0.02553
"Coenagrion_puella",2002,"Belgium",0.30482
"Coenagrion_puella",2002,"Cyprus",0
"Coenagrion_puella",2002,"Czechia",0.18521
"Coenagrion_puella",2002,"Denmark",0.00084
"Coenagrion_puella",2002,"Finland",0.00497
"Coenagrion_puella",2002,"France",0.18874
"Coenagrion_puella",2002,"Ireland",0
"Coenagrion_puella",2002,"Isle of Man",0
"Coenagrion_puella",2002,"Italy",0.00366
"Coenagrion_puella",2002,"Luxembourg",0.19881
"Coenagrion_puella",2002,"Netherlands",0.38761
"Coenagrion_puella",2002,"Portugal",0
